pk_reading,base_slug,public_title,default_variant,status,cpt,level_tax,grammar_tax,topic_tax,post_tags,priority,output_folder
018,mary-anning,"Spanish Reading: Mary Anning, la cazadora de fósiles que cambió la paleontología",narrative_profile,planned,readings,intermediate,,Culture,biography;science;fossils,18,docs/content-system/generated/generated-markdown-posts/readings/
019,ants-cities,Spanish Reading: ¿Quién inventó antes las ciudades: los humanos o las hormigas?,curiosity_article,planned,readings,intermediate,,Nature,ants;cities;animals;curiosities,19,docs/content-system/generated/generated-markdown-posts/readings/
020,fungi-internet,Spanish Reading: Los hongos y la red invisible del bosque,curiosity_article,planned,readings,intermediate,,Nature,fungi;forest;nature,20,docs/content-system/generated/generated-markdown-posts/readings/
021,octopus,Spanish Reading: El pulpo: inteligencia en el océano,curiosity_article,planned,readings,intermediate,,Nature,octopus;animals;ocean,21,docs/content-system/generated/generated-markdown-posts/readings/
022,coral-reefs,Spanish Reading: El papel de los arrecifes de coral en la protección costera,curiosity_article,planned,readings,intermediate,,Nature,coral-reefs;ocean;ecosystems,22,docs/content-system/generated/generated-markdown-posts/readings/
023,mycorrhizal-fungi,Spanish Reading: Cómo los hongos micorrícicos conectan los árboles entre sí,curiosity_article,planned,readings,intermediate,,Nature,fungi;trees;forest;ecosystems,23,docs/content-system/generated/generated-markdown-posts/readings/
024,volcanic-islands,Spanish Reading: La formación de islas volcánicas en el Pacífico,curiosity_article,planned,readings,intermediate,,Nature,volcanoes;islands;Pacific,24,docs/content-system/generated/generated-markdown-posts/readings/
025,polar-auroras,Spanish Reading: Las auroras polares y la actividad solar,curiosity_article,planned,readings,intermediate,,Nature,auroras;solar-activity;space,25,docs/content-system/generated/generated-markdown-posts/readings/
026,monsoon-cycle,Spanish Reading: El ciclo del monzón en el sur de Asia,curiosity_article,planned,readings,advanced,,Nature,monsoon;climate;Asia,26,docs/content-system/generated/generated-markdown-posts/readings/
027,glaciers-water,Spanish Reading: Los glaciares como reservas de agua dulce,curiosity_article,planned,readings,intermediate,,Nature,glaciers;water;climate,27,docs/content-system/generated/generated-markdown-posts/readings/
028,lightning-storms,Spanish Reading: Tormentas eléctricas: cómo se generan los rayos,curiosity_article,planned,readings,intermediate,,Nature,storms;lightning;weather,28,docs/content-system/generated/generated-markdown-posts/readings/
029,permafrost-methane,Spanish Reading: El deshielo del permafrost y la liberación de metano,curiosity_article,planned,readings,advanced,,Nature,permafrost;methane;climate,29,docs/content-system/generated/generated-markdown-posts/readings/
030,enigma-language,Spanish Reading: Cuando un idioma salvó miles de vidas: Enigma y la lingüística,curiosity_article,planned,readings,advanced,,Culture,Enigma;language;history;war,30,docs/content-system/generated/generated-markdown-posts/readings/
031,latin-language,Spanish Reading: ¿Por qué el latín nunca murió realmente?,curiosity_article,planned,readings,intermediate,,Culture,Latin;language;history,31,docs/content-system/generated/generated-markdown-posts/readings/
032,alexandria-library,Spanish Reading: La biblioteca de Alejandría,curiosity_article,planned,readings,intermediate,,Culture,history;library;Alexandria,32,docs/content-system/generated/generated-markdown-posts/readings/
033,trolley-problem,Spanish Reading: El dilema del tranvía: ética en un botón rojo,curiosity_article,planned,readings,advanced,,Culture,ethics;philosophy;trolley-problem,33,docs/content-system/generated/generated-markdown-posts/readings/
034,workers-day,Spanish Reading: El Día del Trabajador,curiosity_article,planned,readings,intermediate,,Culture,workers-day;history;labor,34,docs/content-system/generated/generated-markdown-posts/readings/
035,new-year-january,Spanish Reading: Año Nuevo: ¿por qué lo celebramos en enero?,curiosity_article,planned,readings,intermediate,,Culture,new-year;calendar;history,35,docs/content-system/generated/generated-markdown-posts/readings/
036,womens-day,Spanish Reading: El Día de la Mujer: de una fábrica a una fecha global,curiosity_article,planned,readings,intermediate,,Culture,womens-day;history;labor,36,docs/content-system/generated/generated-markdown-posts/readings/
037,christmas-date,Spanish Reading: Navidad: ¿realmente nació Jesús el 25 de diciembre?,curiosity_article,planned,readings,intermediate,,Culture,Christmas;history;religion,37,docs/content-system/generated/generated-markdown-posts/readings/
038,leap-year,Spanish Reading: ¿Por qué febrero tiene 28 días?,curiosity_article,planned,readings,beginner,,Culture,calendar;February;leap-year,38,docs/content-system/generated/generated-markdown-posts/readings/
039,earth-birthday,Spanish Reading: ¿Qué día es el verdadero cumpleaños de la Tierra?,curiosity_article,planned,readings,intermediate,,Culture,Earth;calendar;science,39,docs/content-system/generated/generated-markdown-posts/readings/
040,origin-of-the-clock,Spanish Reading: El origen del reloj,curiosity_article,planned,readings,beginner,,Culture,time;clock;history,40,docs/content-system/generated/generated-markdown-posts/readings/
