pk_grammar,base_slug,topic_base,public_title,status,cpt,lesson_type,default_variant,default_focus,level_tax,grammar_tax,topic_tax,route_tax,route_block,route_step,post_tags,priority,output_folder,wp_post_id,wp_slug,wp_status,last_wp_seen_modified_gmt,grammar_section,grammar_group,grammar_order,search_terms
26,adverbios-lugar,Adverbios de lugar,"Adverbios de lugar: Aquí, Ahí and Allí",draft,grammar,particle-set,,place adverbs,beginner,Parts of Speech,,beginner,3,30,adverbios de lugar; aquí; ahí; allí,26,docs/content-system/generated/markdown/grammar/,7345,adverbios-lugar,draft,2026-06-20 12:28:58,Foundations,"Questions, place and frequency",2,place adverbs; aquí; ahí; allí; location
27,regular-reflexive-verbs,Verbos reflexivos regulares,Verbos reflexivos: Basic Forms,published,grammar,structure,,reflexive verbs,intermediate,Reflexives,,,,,reflexivos; regular reflexives; daily routine,27,docs/content-system/generated/markdown/grammar/,,,,,Present and everyday actions,Reflexive verbs and routines,1,reflexive verbs; reflexivos; basic forms
28,reflexivos-rutina-diaria,Reflexivos de rutina diaria,Verbos reflexivos: Daily Routines,draft,grammar,structure,,daily routine,intermediate,Reflexives,,,,,reflexivos; rutina diaria,28,docs/content-system/generated/markdown/grammar/,7346,reflexivos-rutina-diaria,draft,2026-06-18 13:00:25,Present and everyday actions,Reflexive verbs and routines,2,reflexive verbs; daily routine; rutina diaria
29,reflexivos-irregulares,Verbos reflexivos irregulares,Verbos reflexivos: Common Irregular Forms,published,grammar,structure,,reflexive verbs,intermediate,Reflexives,,,,,reflexivos; irregular reflexives,29,docs/content-system/generated/markdown/grammar/,7347,reflexivos-irregulares,published,2026-06-18 14:15:59,Present and everyday actions,Reflexive verbs and routines,3,irregular reflexive verbs; reflexivos irregulares
30,reflexivos-no-obvios,Reflexivos no obvios,Verbos reflexivos: Beyond Routines,draft,grammar,structure,,non-obvious reflexives,advanced,Reflexives,,,,,reflexivos; non-obvious reflexives,30,docs/content-system/generated/markdown/grammar/,7348,reflexivos-no-obvios,draft,2026-06-18 13:00:28,Subjunctive and advanced structures,Advanced reflexive verbs,1,non-obvious reflexives; reflexivos; darse cuenta; quejarse
31,reflexivos-cambio-significado,Reflexivos con cambio de significado,Verbos reflexivos: Changes in Meaning,draft,grammar,structure,,reflexive meaning change,advanced,Reflexives,,,,,reflexivos; meaning change,31,docs/content-system/generated/markdown/grammar/,7349,reflexivos-cambio-significado,draft,2026-06-18 13:00:29,Subjunctive and advanced structures,Advanced reflexive verbs,2,reflexives; change meaning; acordarse; olvidarse
32,reflexivos-get,Reflexivos con get,"Ponerse, volverse and quedarse: Changes and States",draft,grammar,structure,,get-like reflexives,advanced,Reflexives,,,,,reflexivos; get; ponerse; volverse; hacerse; quedarse,32,docs/content-system/generated/markdown/grammar/,7357,reflexivos-get,draft,2026-06-18 14:16:40,Subjunctive and advanced structures,Advanced reflexive verbs,3,reflexives; ponerse; volverse; hacerse; quedarse; change
33,reflexivos-consumo-involucramiento,Reflexivos de consumo e involucramiento,Reflexivos: Personal Involvement,draft,grammar,structure,,personal involvement,advanced,Reflexives,,,,,reflexivos; consumption; personal involvement,33,docs/content-system/generated/markdown/grammar/,7358,reflexivos-consumo-involucramiento,draft,2026-06-18 14:16:43,Subjunctive and advanced structures,Advanced reflexive verbs,4,reflexives; personal involvement; me comí; me compré
34,condicional-real-indicativo,Condicional real con indicativo,Condicional real: Si + Present Indicative,published,grammar,structure,,real conditional,intermediate,Conditional,,,,,condicional real; indicativo,34,docs/content-system/generated/markdown/grammar/,7359,condicional-real-indicativo,published,2026-06-18 14:50:21,"Future, conditions and commands",Conditions,1,real conditional; si; present indicative; conditions
35,preterite-regular,Pretérito,Pretérito: Completed Events,draft,grammar,tense,,preterite,intermediate,Past,,,,,preterite; pretérito,35,docs/content-system/generated/markdown/grammar/,7360,preterito,draft,2026-06-18 14:16:49,Talking about the past,Preterite,1,preterite; pretérito; completed events; finished actions
36,preterito-regular,Pretérito regular,Pretérito: Regular Verbs,published,grammar,tense,,regular preterite,intermediate,Past,,,,,regular preterite; pretérito regular,36,docs/content-system/generated/markdown/grammar/,7361,preterito-regular,published,2026-06-20 15:12:54,Talking about the past,Preterite,2,preterite; pretérito regular; regular verbs
37,preterito-irregular,Pretérito irregular,Pretérito: Common Irregular Verbs,draft,grammar,tense,,irregular preterite,advanced,Past,,,,,irregular preterite; pretérito irregular,37,docs/content-system/generated/markdown/grammar/,,,,,Talking about the past,Preterite,3,preterite; pretérito irregular; irregular verbs
38,reflexivos-preterito,Reflexivos en pretérito,Verbos reflexivos en pretérito: Reflexive Verbs in the Preterite,published,grammar,structure,,reflexives in preterite,intermediate,Past,,,,,reflexivos; pretérito,38,docs/content-system/generated/markdown/grammar/,7378,reflexivos-preterito,published,2026-06-20 15:16:23,Talking about the past,Preterite,4,preterite; pretérito; reflexive verbs
39,pronombres-objeto-directo-regulares,Objeto directo regular,Pronombres de objeto directo: Basic Use,draft,grammar,structure,,direct object pronouns,intermediate,Pronouns,,,,,objeto directo; direct object pronouns,39,docs/content-system/generated/markdown/grammar/,7380,pronombres-objeto-directo-regulares,draft,2026-06-19 12:18:57,Pronouns and connections,Direct objects,1,direct object pronouns; lo; la; los; las; objeto directo
40,pronombres-objeto-directo-irregulares,Objeto directo con verbos irregulares,Pronombres de objeto directo: With Irregular Verbs,draft,grammar,structure,,direct object pronouns with irregular verbs,intermediate,Pronouns,,,,,objeto directo; irregular verbs,40,docs/content-system/generated/markdown/grammar/,7381,pronombres-objeto-directo-irregulares,draft,2026-06-19 12:19:00,Pronouns and connections,Direct objects,2,direct object pronouns; irregular verbs; lo; la
41,pronombres-objeto-directo-preterito,Objeto directo en pretérito,Pronombres de objeto directo: In the Preterite,draft,grammar,structure,,direct object pronouns in preterite,intermediate,Pronouns,,,,,objeto directo; pretérito,41,docs/content-system/generated/markdown/grammar/,7382,pronombres-objeto-directo-preterito,draft,2026-06-19 12:19:04,Pronouns and connections,Direct objects,3,direct object pronouns; preterite; pretérito
42,pronombres-objeto-indirecto,Objeto indirecto,Pronombres de objeto indirecto: Le and Les,draft,grammar,structure,,indirect object pronouns,intermediate,Pronouns,,,,,objeto indirecto; indirect object pronouns,42,docs/content-system/generated/markdown/grammar/,7383,pronombres-objeto-indirecto,draft,2026-06-19 12:19:07,Pronouns and connections,Indirect objects,1,indirect object pronouns; le; les; objeto indirecto
43,pronombres-objeto-indirecto-decir-preterito,Objeto indirecto con decir en pretérito,Pronombres de objeto indirecto: Decir in the Preterite,draft,grammar,structure,,indirect object with decir,intermediate,Pronouns,,,,,objeto indirecto; decir; pretérito,43,docs/content-system/generated/markdown/grammar/,7384,pronombres-objeto-indirecto-decir-preterito,draft,2026-06-19 12:19:09,Pronouns and connections,Indirect objects,2,indirect object; decir; preterite; le; les
44,regular-imperfect,Imperfecto,Imperfecto: Forms and Core Uses,draft,grammar,tense,,imperfect,intermediate,Past,,,,,imperfect; imperfecto,44,docs/content-system/generated/markdown/grammar/,7385,imperfecto,draft,2026-06-19 12:19:11,Talking about the past,Imperfect,1,imperfect; imperfecto; forms; core uses
45,imperfecto-regular-verbos-accion,Imperfecto regular,Imperfecto: Regular Verbs,published,grammar,tense,,regular imperfect,intermediate,Past,,,,,regular imperfect; imperfecto,45,docs/content-system/generated/markdown/grammar/,,,,,Talking about the past,Imperfect,2,imperfect; imperfecto regular; regular verbs
46,imperfecto-irregular-verbos-accion,Imperfecto irregular,Imperfecto: Irregular Verbs,draft,grammar,tense,,irregular imperfect,intermediate,Past,,,,,irregular imperfect; imperfecto,46,docs/content-system/generated/markdown/grammar/,7386,imperfecto-irregular-verbos-accion,draft,2026-06-19 12:19:13,Talking about the past,Imperfect,3,imperfect; imperfecto irregular; irregular verbs
47,ser-ir-ver-imperfecto,Ser / Ir / Ver en imperfecto,"Imperfecto: Ser, Ir and Ver",draft,grammar,structure,,imperfect,intermediate,Past,,,,,ser; ir; ver; imperfecto,47,docs/content-system/generated/markdown/grammar/,7387,ser-ir-ver-imperfecto,draft,2026-06-19 12:19:16,Talking about the past,Imperfect,4,imperfect; imperfecto; ser; ir; ver
48,imperfecto-ir-a-infinitivo,Imperfecto with ir a + infinitivo,Imperfecto: Iba a + Infinitive,draft,grammar,structure,,imperfect for planned actions,intermediate,Past,,,,,imperfecto; ir a; infinitivo,48,docs/content-system/generated/markdown/grammar/,7388,imperfecto-ir-a-infinitivo,draft,2026-06-19 12:19:18,Talking about the past,Imperfect,5,imperfect; iba a; infinitive; planned actions
49,imperfecto-verbos-estado,Imperfecto con verbos de estado,Imperfecto: State Verbs,draft,grammar,structure,,imperfect with state verbs,advanced,Past,,,,,imperfecto; state verbs,49,docs/content-system/generated/markdown/grammar/,7389,imperfecto-verbos-estado,draft,2026-06-19 12:19:20,Talking about the past,Imperfect,6,imperfect; imperfecto; state verbs; descriptions
50,simple-future-regular,Futuro simple regular,Futuro simple: Regular Verbs,published,grammar,tense,,simple future,intermediate,Future,,,,,futuro simple; regular verbs,50,docs/content-system/generated/markdown/grammar/,,,,,"Future, conditions and commands",Future plans,2,simple future; futuro simple; regular verbs
51,futuro-simple-irregular,Futuro simple irregular,Futuro simple: Irregular Verbs,draft,grammar,tense,,simple future,intermediate,Future,,,,,futuro simple; irregular verbs,51,docs/content-system/generated/markdown/grammar/,7390,futuro-simple-irregular,draft,2026-06-19 13:41:29,"Future, conditions and commands",Future plans,3,simple future; futuro simple; irregular verbs
52,preterito-perfecto-regulares,Pretérito perfecto regular,Pretérito perfecto: Regular Participles,published,grammar,tense,,pretérito perfecto,intermediate,Past,,,,,pretérito perfecto; haber; participio,52,docs/content-system/generated/markdown/grammar/,6308,preterito-perfecto-regulares,published,2026-06-08 21:04:03,Talking about the past,Perfect tenses,1,present perfect; pretérito perfecto; haber; regular participles
53,preterito-perfecto-irregulares,Pretérito perfecto irregular,Pretérito perfecto: Irregular Participles,published,grammar,tense,,pretérito perfecto,intermediate,Past,,,,,pretérito perfecto; haber; irregular participles,53,docs/content-system/generated/markdown/grammar/,6327,preterito-perfecto-irregulares,published,2026-06-08 21:03:08,Talking about the past,Perfect tenses,2,present perfect; pretérito perfecto; irregular participles
54,nunca-jamas-alguna-vez,Nunca / Jamás / Alguna vez,"Pretérito perfecto: Nunca, Jamás and Alguna vez",published,grammar,structure,,pretérito perfecto,intermediate,Past,,,,,nunca; jamás; alguna vez; pretérito perfecto,54,docs/content-system/generated/markdown/grammar/,6331,nunca-jamas-alguna-vez,published,2026-06-08 21:03:08,Talking about the past,Perfect tenses,3,present perfect; nunca; jamás; alguna vez; experiences
55,ya-todavia,Ya / Todavía,Ya y todavía: Already and Still,published,grammar,structure,,adverbs,intermediate,Parts of Speech,,,,,ya; todavía; adverbs,55,docs/content-system/generated/markdown/grammar/,6526,ya-todavia,published,2026-06-08 21:03:09,Foundations,"Questions, place and frequency",4,ya; todavía; already; still; adverbs
56,condicional-regular,Condicional regular,Condicional: Regular Forms,draft,grammar,tense,,conditional,intermediate,Conditional,,,,,condicional regular,56,docs/content-system/generated/markdown/grammar/,7391,condicional-regular,draft,2026-06-19 13:41:31,"Future, conditions and commands",Conditions,2,conditional; condicional regular; regular forms
57,condicional-irregular,Condicional irregular,Condicional: Irregular Forms,draft,grammar,tense,,conditional,intermediate,Conditional,,,,,condicional irregular,57,docs/content-system/generated/markdown/grammar/,7392,condicional-irregular,draft,2026-06-19 13:41:33,"Future, conditions and commands",Conditions,3,conditional; condicional irregular; irregular forms
58,imperativo-regular,Imperativo regular,Imperativo: Regular Forms,draft,grammar,tense,,imperative,intermediate,Imperative,,,,,imperativo regular,58,docs/content-system/generated/markdown/grammar/,7393,imperativo-regular,draft,2026-06-19 13:41:36,"Future, conditions and commands",Commands,1,commands; imperative; imperativo regular
59,imperativo-irregular,Imperativo irregular,Imperativo: Common Irregular Forms,draft,grammar,tense,,imperative,intermediate,Imperative,,,,,imperativo irregular,59,docs/content-system/generated/markdown/grammar/,7394,imperativo-irregular,draft,2026-06-19 13:41:38,"Future, conditions and commands",Commands,2,commands; imperative; imperativo irregular
60,subjuntivo-presente-poder,Subjuntivo presente con poder,"Subjuntivo presente con poder: Wishes, Requests and Recommendations",draft,grammar,structure,,present subjunctive,intermediate,Subjunctive,,,,,subjuntivo presente; poder,60,docs/content-system/generated/markdown/grammar/,7395,subjuntivo-presente-poder,draft,2026-06-19 13:41:40,Subjunctive and advanced structures,Present subjunctive,1,present subjunctive; subjuntivo presente; poder; wishes; requests
61,subjuntivo-presente-regulares-irregulares,Subjuntivo presente regular e irregular,Subjuntivo presente: Regular and Irregular Forms,draft,grammar,tense,,present subjunctive,intermediate,Subjunctive,,,,,subjuntivo presente; regular; irregular,61,docs/content-system/generated/markdown/grammar/,7396,subjuntivo-presente-regulares-irregulares,draft,2026-06-19 13:41:41,Subjunctive and advanced structures,Present subjunctive,2,present subjunctive; subjuntivo presente; regular; irregular
62,subjuntivo-imperfecto,Subjuntivo imperfecto,Subjuntivo imperfecto: Forms and Uses,draft,grammar,tense,,imperfect subjunctive,advanced,Subjunctive,,,,,subjuntivo imperfecto,62,docs/content-system/generated/markdown/grammar/,7397,subjuntivo-imperfecto,draft,2026-06-19 13:41:43,Subjunctive and advanced structures,Past subjunctive,1,imperfect subjunctive; subjuntivo imperfecto
63,condicional-subjuntivo-imperfecto,Condicional con subjuntivo imperfecto,Condicional con subjuntivo imperfecto: Hypothetical Situations,draft,grammar,structure,,conditional with imperfect subjunctive,advanced,Subjunctive,,,,,condicional; subjuntivo imperfecto,63,docs/content-system/generated/markdown/grammar/,7398,condicional-subjuntivo-imperfecto,draft,2026-06-19 13:41:44,Subjunctive and advanced structures,Past subjunctive,2,conditional; imperfect subjunctive; si clauses
64,pluscuamperfecto-indicativo,Pretérito pluscuamperfecto,Pretérito pluscuamperfecto: Earlier Past Events,draft,grammar,tense,,pluperfect,advanced,Past,,,,,pluscuamperfecto; past perfect,64,docs/content-system/generated/markdown/grammar/,7399,pluscuamperfecto-indicativo,draft,2026-06-19 13:41:46,Talking about the past,Perfect tenses,4,past perfect; pluperfect; pluscuamperfecto; what had happened
65,subjuntivo-perfecto,Subjuntivo perfecto,Subjuntivo perfecto: Completed Actions,draft,grammar,tense,,present perfect subjunctive,advanced,Subjunctive,,,,,subjuntivo perfecto,65,docs/content-system/generated/markdown/grammar/,7400,subjuntivo-perfecto,draft,2026-06-19 13:41:47,Subjunctive and advanced structures,Past subjunctive,3,present perfect subjunctive; subjuntivo perfecto
66,subjuntivo-pluscuamperfecto,Subjuntivo pluscuamperfecto,Subjuntivo pluscuamperfecto: Past Hypotheticals,draft,grammar,tense,,pluperfect subjunctive,advanced,Subjunctive,,,,,subjuntivo pluscuamperfecto,66,docs/content-system/generated/markdown/grammar/,7401,subjuntivo-pluscuamperfecto,draft,2026-06-19 13:41:49,Subjunctive and advanced structures,Past subjunctive,4,past perfect subjunctive; pluscuamperfecto subjuntivo
67,discurso-reportado,Discurso reportado,Discurso reportado: Reported Speech,planned,grammar,structure,,reported speech,advanced,Reported Speech,,,,,discurso reportado; reported speech,67,docs/content-system/generated/markdown/grammar/,,,,,Subjunctive and advanced structures,Reported speech and voice,1,reported speech; discurso reportado
68,voz-pasiva,Voz pasiva,Voz pasiva: Passive Voice,planned,grammar,structure,,passive voice,advanced,Passive Voice,,,,,voz pasiva; passive voice,68,docs/content-system/generated/markdown/grammar/,,,,,Subjunctive and advanced structures,Reported speech and voice,2,passive voice; voz pasiva
69,indirecto,Practica: Indirecto + decir,Practica: Indirecto + decir,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7694,indirecto,published,2026-07-27 11:11:45,,,,
70,imperativos,Imperativos.,Imperativos.,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7636,imperativos,published,2026-08-04 14:36:45,,,,
71,reflexivos-verbos-no-obvios-ii,Pretérito: reflexivos - verbos no obvios,Pretérito: reflexivos - verbos no obvios,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7624,reflexivos-verbos-no-obvios-ii,published,2026-07-09 17:26:07,,,,
72,7608,Reflexive verbs and daily routine,Reflexive verbs and daily routine,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7608,7608,published,2026-08-05 9:07:02,,,,
73,simple-future,Futuro simple. Verbos regulares,Futuro simple. Verbos regulares,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,6655,simple-future,published,2026-08-05 9:06:58,,,,
74,regular-imperfect,Past in spanish: Imperfect. Verbos regulares,Past in spanish: Imperfect. Verbos regulares,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,6992,regular-imperfect,published,2026-06-01 13:58:32,,,,
75,7499,Past in spanish: Past Progressive.,Past in spanish: Past Progressive.,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7499,7499,published,2026-08-05 9:08:38,,,,
76,reflexivos-no-obvios,Reflexivos no obvios,Reflexivos no obvios,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7351,reflexivos-no-obvios,published,2026-06-21 0:05:24,,,,
77,reflexivos-verbos-no-obvios,Reflexivos: verbos no obvios,Reflexivos: verbos no obvios,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7612,reflexivos-verbos-no-obvios,published,2026-07-08 17:19:32,,,,
78,how-to-use-reflexivos-irregulares,Reflexivos Irregulares.,Reflexivos Irregulares.,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7472,how-to-use-reflexivos-irregulares,published,2026-06-24 12:35:16,,,,
79,regular-reflexive-verbs,Reflexivos Regulares,Reflexivos Regulares,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7932,regular-reflexive-verbs,published,2026-02-10 22:28:22,,,,
80,pronombres-interrogativos,"Pronombres interrogativos: qué, quién, cuándo, dónde","Pronombres interrogativos: qué, quién, cuándo, dónde",published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7937,pronombres-interrogativos,published,2026-08-05 9:07:06,,,,
81,adverbios-frecuencia,Adverbios de frecuencia: routines,Adverbios de frecuencia: routines,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7936,adverbios-frecuencia,published,2026-08-05 9:07:00,,,,
82,present-indicative,Presente indicativo: regular verbs,Presente indicativo: regular verbs,published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,6995,present-indicative,published,2026-06-01 20:10:14,,,,
83,pronombres-posesivos-demostrativos,"Pronombres posesivos and demostrativos: eso es mío, esto es tuyo","Pronombres posesivos and demostrativos: eso es mío, esto es tuyo",published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7935,pronombres-posesivos-demostrativos,published,2026-06-20 23:34:53,,,,
84,pronombres-posesivos,"Pronombres posesivos: mío, tuyo, suyo","Pronombres posesivos: mío, tuyo, suyo",published,grammar,,,,,,,,,,,,docs/content-system/generated/markdown/grammar/,7934,pronombres-posesivos,published,2026-06-20 12:38:31,,,,
